gpu_type,sm,comm_sm,fp16,fp8,fp4,mem,mem_bw,nvlink_bw,pcie_bw,gpu_per_node
DGX-B300,160,20,3375,7500,15000,288,8000,900,100,8
DGX-B200,160,20,2250,4500,9000,180,8000,900,100,8
GB200-NVL72,160,20,2500,5000,10000,192,8000,900,100,72
GB300-NVL72,160,20,3750,7500,15000,288,8000,900,100,72
Rubin-NVL144,110,12,6400,12800,25600,144,6500,900,100,144
RubinU-NVL576,110,12,6500,13000,26000,256,8000,1350,100,576
H200,132,20,989,1979,0,141,4800,450,50,8
H800,132,20,989,1979,0,80,4000,200,50,8
H20,78,10,148,296,0,96,4000,450,50,8
H20-3E,78,10,148,296,0,141,4800,450,50,8
MI300X,304,30,1307,2614,0,192,5300,448,50,8
